4.04626,4
4.066867,3
4.08578,0
4.10567,1
4.12252,2
4.139848,5
4.157069,6
5.319729,3
5.33651,0
5.35336,1
5.371853,2
5.388743,5
5.422445,6
5.440508,4
5.979686,6
5.99653,3
6.014484,0
6.031675,1
6.048663,2
6.082223,5
6.101123,4
6.471807,2
6.489656,3
6.489656,5
7.049261,3
7.067274,1
7.084927,2
7.573902,0
7.593693,3
7.611346,1
7.628519,2
8.0666,6
8.083446,3
8.102587,0
8.119436,2
8.608739,5
8.630824,3
8.648018,1
9.102948,2
9.122684,3
9.594462,6
9.612069,3
9.628918,0
9.645767,1
9.663246,2
9.696946,5
9.713794,4
11.03598,4
11.054,0
11.054,3
11.07704,1
11.09685,2
11.11468,5
11.65386,0
11.67118,3
12.17676,6
12.19651,3
12.41555,2
12.43268,3
12.60117,2
12.62653,3
12.81465,6
12.83361,3
12.97415,4
12.99203,3
13.01225,1
13.13559,5
13.15248,0
13.30413,0
13.43917,3
13.48971,5
13.59081,3
13.74245,0
13.76071,3
13.87866,1
13.89552,3
13.91597,5
14.03391,3
14.05142,5
14.17135,2
14.18797,3
14.20597,5
14.30707,3
14.35787,5
14.45967,3
14.50996,5
14.61156,1
14.63088,3
14.64773,5
14.67486,6
14.77713,3
14.80094,5
14.80094,6
14.92289,3
14.95653,5
15.04117,3
15.10825,5
15.19258,1
15.21097,3
15.22782,4
15.24518,5
15.39682,4
15.41367,5
15.48108,3
15.54846,4
15.56657,5
15.6344,3
15.7018,5
15.71947,6
15.83741,5
15.85426,6
15.98917,6
16.00702,5
16.02387,4
16.14209,6
16.15972,5
16.29457,6
16.31136,5
16.42993,4
16.44687,5
16.56483,5
16.58189,6
16.73379,4
16.75497,5
16.85662,4
16.87552,5
17.01552,4
17.03433,5
17.16912,4
17.18776,5
17.30637,4
17.32471,5
17.4595,4
17.47781,5
17.59771,4
17.61449,5
17.75079,4
17.76828,5
17.89069,5
17.90959,6
18.02754,5
18.04566,6
18.18046,5
18.19731,6
18.3321,5
18.354,6
18.4888,4
18.50584,5
18.52447,6
18.64324,5
18.64324,6
18.78331,4
18.80241,5
18.80241,6
18.92651,5
18.94336,6
19.06131,4
19.07911,5
19.0969,6
19.21618,5
19.23303,6
19.25034,4
19.37005,5
19.3867,6
19.40435,4
19.42224,3
19.52549,5
19.5433,6
19.56085,3
19.66195,5
19.68006,6
19.69831,4
19.72584,3
19.82694,5
19.84707,6
19.86517,3
19.96626,5
19.98437,6
20.00472,4
20.10609,4
20.12347,5
20.1439,6
20.1648,3
20.24905,4
20.26903,5
20.28811,6
20.40704,5
20.42422,6
20.44137,3
20.5436,5
20.56044,6
20.57867,4
20.71429,4
20.73106,5
20.74873,6
20.85167,4
20.86828,5
20.88513,6
20.90198,3
20.98636,5
21.00321,6
21.02006,3
21.13816,5
21.15772,0
21.15772,3
21.18062,1
21.23139,2
21.31722,3
21.33467,0
21.43629,5
21.45337,3
21.47109,1
21.57229,6
21.59124,3
21.69262,0
21.71133,1
21.74016,2
21.74016,5
21.76391,6
